Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2014/06/18,1.3225,3.89,7.691,34.4398,0.4794,3590,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,175016.3044,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/19,1.3269,3.8609,7.6654,34.4398,0.481,3573,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176338.8457,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/20,1.3231,3.89,7.6876,34.4398,0.4796,3600,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,175016.3044,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/23,1.3247,3.9263,7.6781,34.4398,0.4802,3573,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,173399.8649,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/24,1.3148,3.9531,7.7357,34.4398,0.4766,3540,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,172224.2726,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/25,1.3078,3.9712,7.7772,34.4398,0.474,3516,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,171440.5444,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/26,1.3143,3.9319,7.7391,34.4398,0.4764,3500,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,173154.9499,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/27,1.3214,3.9208,7.697,34.4398,0.479,3535,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,173644.78,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/30,1.3749,3.863,5.4052,26.0355,0.532,3545,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176240.8797,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/01,1.3886,3.7965,5.352,26.0355,0.5373,3598,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,179326.8095,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/02,1.3815,3.7821,5.3797,26.0355,0.5345,3661,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,180012.5717,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/03,1.3888,3.7739,5.3511,26.0355,0.5374,3675,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,180656.3652,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/04,1.3917,3.7596,5.34,26.0355,0.5385,3683,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,181343.085,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/07,1.3973,3.7464,5.3186,26.0355,0.5407,3697,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,181980.7534,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/08,1.3922,3.7862,5.3381,26.0355,0.5387,3710,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,180067.7482,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/09,1.373,3.8374,5.4127,26.0355,0.5313,3671,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,177664.2288,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/10,1.362,3.8695,5.4566,26.0355,0.527,3622,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176192.6863,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/11,1.3719,3.8364,5.4174,26.0355,0.5308,3592,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,177713.2802,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/14,1.3908,3.8059,5.3437,26.0355,0.5381,3623,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,179135.7713,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/15,1.389,3.7893,5.3505,26.0355,0.5375,3652,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,179920.5939,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/16,1.4077,3.7515,5.2793,26.0355,0.5447,3668,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,181735.4963,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/17,1.394,3.7872,5.3314,26.0355,0.5394,3705,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,180018.6968,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/18,1.3859,3.83,5.3624,26.0355,0.5363,3670,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,178007.5887,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/21,1.3782,3.8705,5.3925,26.0355,0.5333,3629,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176143.6349,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/22,1.3901,3.8502,5.3463,26.0355,0.5379,3591,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,177075.6118,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/23,1.3946,3.8716,5.3289,26.0355,0.5396,3610,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176094.5835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/24,1.3969,3.8662,5.3202,26.0355,0.5405,3590,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176339.8406,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/25,1.3977,3.8716,5.3171,26.0355,0.5408,3595,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176094.5835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/28,1.3871,3.8727,5.3578,26.0355,0.5367,3590,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176045.5321,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/07/29,1.3922,3.8652,5.3383,26.0355,0.5387,3589,-29.5994,12.5229,-48.3516,8.5977,#N/A N/A,8.1496,176406.8369,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
